paradigm,method,n_movies,alpha,mSIoU_mean,BndF1_mean,IoU_d_mean,IoU_nd_mean,R@1_mean,R@5_mean,R@10_mean,MedR_mean,mSIoU_std,BndF1_std,IoU_d_std,IoU_nd_std,R@1_std,R@5_std,R@10_std,MedR_std
Visual,TMASS_stoch_fuse_a0.3_vis,50,,0.4785939659227473,0.5941871757879613,0.5524510219006824,0.3314493860429868,0.382183178286471,0.5343949472546874,0.6178334631949182,6.44,0.16192800145750916,0.1539560291224908,0.17336025509103578,0.15588829467968926,0.14799507503656129,0.1414056835232525,0.12887340533967911,6.829816981442475
Visual,TMASS_stoch_fuse_a0.5_vis,50,,0.4783504399644174,0.5930528452776231,0.5408445798171221,0.3551388284657999,0.3798747894962894,0.5404744463667142,0.6278391042383396,6.0,0.1682497709589143,0.1552610998776603,0.18010901531904863,0.1630951451170709,0.1412346189982619,0.13897823178967,0.1281853143795006,6.2289646009589745
Visual,TMASS_pool_fuse_a0.7_vis,50,,0.42075451719973084,0.5410252672347324,0.45848937666243317,0.34814640373020117,0.3011675473421935,0.5055222055890705,0.6089606155857497,7.39,0.16546558371026873,0.17175879300170951,0.1763098384373268,0.15839556415295344,0.10705949193789473,0.1304373973014371,0.1302791989868828,6.4940665226035375
Visual,TMASS_stoch_fuse_a0.7_vis,50,,0.41954305156623034,0.5415839110540801,0.4577405569780288,0.34678362396062345,0.3012935217415581,0.5055407141817344,0.6081081152353017,7.4,0.16599083170205167,0.17145797838487653,0.17838996438770582,0.15766427477905978,0.1069468925432349,0.13125824684653623,0.13043696364150054,6.536053855347277
Visual,TMASS_pool_fuse_a0.7_full,50,,0.4093041605046638,0.5213332945694754,0.44342951767014627,0.3407413158351607,0.3037910409631703,0.5104653844788003,0.6143355569634795,7.11,0.17877675388089165,0.18486340984733074,0.19138888648531935,0.16359346839488523,0.10878071753446468,0.13084949487686573,0.12978480248212196,6.282746214833128
Visual,TMASS_stoch_fuse_a0.7_full,50,,0.40778593501608773,0.5215683702343012,0.44308433438583583,0.3382123000330548,0.304421568092688,0.5115398709248034,0.6147861268186784,7.17,0.17496209013743239,0.18015849099448553,0.18811872432502993,0.15988012690134995,0.10907118765601431,0.1317914084569236,0.12992377960603488,6.46499033255271
Dialogue,BM25_DropDTW_prior,50,,0.39882789468774166,0.542584218445722,0.5045687606241036,0.1896764723167036,0.3894840346224509,0.5733316181323815,0.6727620049629353,5.82,0.14033090826236658,0.1330155024418528,0.1526985898074354,0.10698599221103237,0.14641634867441097,0.15987049777591672,0.15606272395003676,6.987674863643844
Fusion,clip_bm25_only,50,0.0,0.39882789468774166,0.542584218445722,0.5045687606241036,0.1896764723167036,0.3894840346224509,0.5733316181323815,0.6727620049629353,5.82,0.14033090826236658,0.1330155024418528,0.1526985898074354,0.10698599221103237,0.14641634867441097,0.15987049777591672,0.15606272395003676,6.987674863643844
Dialogue,TF-IDF_DropDTW_prior,50,,0.3957247761785196,0.5462323018585655,0.5071851059497583,0.17483365704573095,0.345936194162524,0.576358939991771,0.6895564653865209,5.65,0.13981451438791884,0.13334542118167175,0.1530892252521644,0.09847064766700155,0.12478112755412298,0.15703586212426462,0.1544268071700013,5.947478457296
Visual,MATR_encoder_fuse_a0.3_full,50,,0.353684452493775,0.5008019805769353,0.44897228571639014,0.1632998550919309,0.3459696910699297,0.4538234759657007,0.5105905943060054,15.92,0.15512333192267086,0.16205243787012957,0.178378934913818,0.10301793553661566,0.15011506072645597,0.15023266654902007,0.14381259183753484,18.564579176485527
Visual,MATR_encoder_fuse_a0.3_vis,50,,0.3510453523809323,0.4948572492523645,0.44115673488583235,0.17235374607231255,0.3441332185444697,0.4517748424268194,0.5083282120319996,16.18,0.15596738153755002,0.1638236363543393,0.18379007056139293,0.10621203462838891,0.14886990360951374,0.14756379994636504,0.14465270670700225,18.618206143450017
Fusion,clip_a0.9,50,0.9,0.3491656426563121,0.49987204933762314,0.36802460265362247,0.3133628000523604,0.19870866087814776,0.45985799117472026,0.5995589092162444,8.41,0.16861113736161382,0.1745073631591656,0.17836784977944506,0.16370006439574172,0.06613341813107847,0.12459024230396007,0.12920475403764717,6.989771097825738
