method,n_movies,alpha,mSIoU_mean,mSIoU_std,BndF1_mean,BndF1_std,IoU_d_mean,IoU_d_std,IoU_nd_mean,IoU_nd_std,R@1_mean,R@1_std,R@5_mean,R@5_std,R@10_mean,R@10_std,MedR_mean,MedR_std
E3_full_inst_a0.5,50,0.5,0.591480697955544,0.1346660198051962,0.6902648853038634,0.1259068367562413,0.6588087673554979,0.1417567058928165,0.4573874228923585,0.13000494408916627,0.46973179760010647,0.14096994782108518,0.6701183979869398,0.12753827993031341,0.7606751217508011,0.11122937118347413,2.82,2.96438863848855
E3_full_inst_a0.7,50,0.7,0.5991584759429082,0.13639140650911524,0.6969241111640555,0.12233160087290117,0.653760763371038,0.14561009590658794,0.4942160999956337,0.13140305853788137,0.4476598141102721,0.12688838027339358,0.6858962719843857,0.12793438740662746,0.7783281050453009,0.11169356554806097,2.75,2.9803523281652455
E3_full_inst_a0.9,50,0.9,0.5468876975638366,0.1442843751633109,0.6609399704174487,0.13153280150835592,0.5808419988734116,0.16094958599070874,0.4795321906535822,0.13305118637560812,0.3166995510541418,0.09696733750453161,0.5992161140026454,0.127818711744337,0.7189759627681407,0.12685597405214863,4.73,5.141215809514322
E4_visual_vis,50,1.0,0.39470554987341655,0.16305178493634775,0.5575217172274113,0.14761934302788401,0.40987852116385154,0.1670493308820795,0.36121003427206333,0.18281771041816144,0.18352869970892768,0.07294924150880011,0.4459910944499839,0.12807782371372248,0.5844560735288109,0.14387787944058392,9.75,9.63496237667797
E4_visual_a0.1,50,0.1,0.5346591665121108,0.14756784722841854,0.6483753769809861,0.13253510262632606,0.6111134905493124,0.1576538294832248,0.38210641637574694,0.13188236904230055,0.4066715824802046,0.1463124913165556,0.5917120980951868,0.14062737048231375,0.6799177534394074,0.1285026462041037,4.71,5.8635228318818715
E4_visual_a0.3,50,0.3,0.5572457569391767,0.14380777582358298,0.6625195888069291,0.13127281198603014,0.6274462690518111,0.15429519384450582,0.4141400474924961,0.13867378960873725,0.4254929668533498,0.146216913089833,0.6139641215314348,0.13651913717120026,0.70259634355885,0.1222803889862089,4.12,4.966447422454002
E4_visual_a0.5,50,0.5,0.5825087245191417,0.13512711143440925,0.6796696189799227,0.12927359195862312,0.6451564360610362,0.14259598736307771,0.4589752091898076,0.13549497113685074,0.4414862106148339,0.14490404227581022,0.6378478853447218,0.13231253216922037,0.731418540686402,0.11840101319311158,3.52,4.148445491988536
E4_visual_a0.7,50,0.7,0.5668972232894925,0.14686728602424315,0.6716878984853828,0.1355434495063973,0.6168711638077122,0.15353797877278497,0.4670535889291875,0.1560759169973308,0.39670580855556337,0.1288357567261539,0.63915532268937,0.13504908717101716,0.7387448184557942,0.12407245078321186,3.71,4.29428690238554
E4_visual_a0.9,50,0.9,0.47418057234135863,0.15968365649776245,0.6134712994079583,0.13787103960685057,0.5027705604319804,0.16337693366649794,0.4159698819647506,0.16316889568928764,0.2399925726440862,0.0883084755360542,0.5208849830165506,0.13460154257277918,0.6528827015067171,0.14022498851547333,7.04,7.461796030447361
E5_visual_inst_vis,50,1.0,0.4541971601026536,0.16107365409278834,0.6006167783991263,0.14968447930692433,0.470482287647755,0.1752755849745123,0.4199567522983972,0.16188568020906258,0.22105287256009315,0.0861408454056045,0.495636387396267,0.1294700611128977,0.6325405522957844,0.13980383468290983,7.55,7.065585609133896
E5_visual_inst_a0.1,50,0.1,0.5346489238955203,0.15029261981212624,0.6532380036979127,0.12977490437618686,0.6135743941253565,0.15826979275272418,0.38804462548527063,0.15833995713637433,0.4121041335146923,0.14604337878553125,0.6001510521595386,0.13980941799392815,0.6896660856897878,0.12755015467817046,4.37,5.0406448000231086
